epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,8937.07,0.42777,0.21745,0.00107,0.99112,0.99016,0.99347,0.97076,0.28918,0.10407,0.00084,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,9106.27,0.42807,0.22111,0.00105,0.99379,0.98993,0.9935,0.97064,0.28883,0.10226,0.00083,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,9275.33,0.42702,0.21705,0.00106,0.99252,0.99178,0.99358,0.97066,0.28801,0.10178,0.00083,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,9444.93,0.42844,0.21998,0.00106,0.99288,0.99111,0.99361,0.97118,0.28727,0.10231,0.00083,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,9614.03,0.4223,0.21238,0.00105,0.99475,0.9899,0.99362,0.97136,0.28679,0.10184,0.00083,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,9782.84,0.42563,0.21441,0.00106,0.994,0.99005,0.99355,0.97148,0.28728,0.10204,0.00083,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,9952.12,0.42751,0.219,0.00106,0.99368,0.99024,0.99363,0.97168,0.28653,0.10187,0.00083,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,10121.3,0.42305,0.217,0.00105,0.99342,0.99171,0.99374,0.97175,0.28644,0.1005,0.00083,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,10290.7,0.42551,0.21267,0.00105,0.99346,0.992,0.99387,0.97218,0.28608,0.10002,0.00083,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,10459.8,0.42456,0.21185,0.00104,0.99314,0.9932,0.99393,0.972,0.28598,0.09949,0.00083,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,10628.9,0.42727,0.21106,0.00106,0.99366,0.99276,0.99393,0.97213,0.28597,0.09976,0.00083,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,10798.7,0.42297,0.20917,0.00104,0.99315,0.99312,0.99395,0.97233,0.28556,0.09956,0.00083,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,10968.2,0.4201,0.21178,0.00104,0.99396,0.99302,0.99394,0.97233,0.28563,0.09885,0.00083,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,11137.7,0.4209,0.20607,0.00103,0.99388,0.99229,0.99384,0.97232,0.28532,0.09928,0.00083,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,11307.2,0.41877,0.20657,0.00103,0.99358,0.99263,0.99389,0.9724,0.2852,0.09921,0.00083,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,11476.7,0.41743,0.20353,0.00102,0.9929,0.99297,0.99398,0.97255,0.28517,0.09958,0.00083,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,11646.3,0.41781,0.2012,0.00103,0.9945,0.99226,0.99396,0.97275,0.28474,0.09874,0.00083,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,11815.6,0.41762,0.20305,0.00102,0.99465,0.99258,0.99399,0.97272,0.28481,0.09894,0.00083,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,11985.1,0.41899,0.20678,0.00104,0.99434,0.99314,0.994,0.97275,0.28468,0.09874,0.00083,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,12154.9,0.41986,0.20185,0.00103,0.99403,0.9928,0.99401,0.97294,0.28441,0.09868,0.00083,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,12325.1,0.41815,0.20586,0.00103,0.99499,0.99269,0.99404,0.97295,0.28448,0.0985,0.00083,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,12495,0.41443,0.19743,0.00102,0.99524,0.99325,0.99403,0.97278,0.28447,0.09804,0.00083,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,12664.4,0.41586,0.19909,0.00102,0.99494,0.99362,0.99405,0.97283,0.28443,0.09819,0.00083,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,12834.2,0.41737,0.20128,0.00102,0.99508,0.9936,0.99405,0.97294,0.2844,0.09799,0.00083,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,13003.4,0.41491,0.20069,0.00102,0.99521,0.99362,0.9941,0.97288,0.28456,0.09813,0.00083,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,13172.6,0.41419,0.19903,0.00102,0.99477,0.99391,0.99412,0.97311,0.28433,0.09777,0.00083,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,13341.9,0.41301,0.20017,0.00102,0.99571,0.99357,0.99417,0.97315,0.28415,0.0975,0.00082,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,13511.1,0.41052,0.19515,0.001,0.99565,0.99374,0.99417,0.97319,0.2846,0.09723,0.00083,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,13680.4,0.41179,0.1967,0.00101,0.9956,0.99389,0.99424,0.9732,0.28428,0.09674,0.00082,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,13849.6,0.40894,0.19417,0.001,0.99601,0.99344,0.99425,0.97332,0.28416,0.0971,0.00082,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,14019.1,0.40908,0.19501,0.00101,0.99535,0.9941,0.99425,0.97345,0.28407,0.09675,0.00082,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,14188.3,0.40965,0.19332,0.00101,0.99547,0.99385,0.99425,0.97354,0.28407,0.09736,0.00082,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,14357.4,0.40679,0.19252,0.00101,0.99617,0.99327,0.99427,0.97359,0.28387,0.09707,0.00082,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,14526.7,0.40627,0.1948,0.00101,0.99653,0.99297,0.9943,0.97365,0.28407,0.09709,0.00082,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,14695.9,0.40341,0.19069,0.00099,0.99596,0.9935,0.99431,0.97366,0.28391,0.09666,0.00082,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,14864.8,0.40786,0.19766,0.00101,0.99587,0.99364,0.99432,0.9735,0.28407,0.09708,0.00082,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,15033.9,0.40431,0.19162,0.001,0.99625,0.99315,0.99433,0.97363,0.28379,0.09693,0.00082,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,15203,0.40144,0.18846,0.00099,0.99639,0.99323,0.99437,0.97354,0.28395,0.09733,0.00082,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
